station_complex,time_period,period_hrs,ridership,avg_hourly_ridership
1 Av (L),AM peak,4,921414,230353.5
1 Av (L),Evening,4,1058671,264667.75
1 Av (L),Midday,6,1707019,284503.1666666667
1 Av (L),Overnight,7,347092,49584.57142857143
1 Av (L),PM peak,3,1334531,444843.6666666667
21 St (G),AM peak,4,50915,12728.75
21 St (G),Evening,4,65297,16324.25
21 St (G),Midday,6,105447,17574.5
21 St (G),Overnight,7,19599,2799.8571428571427
21 St (G),PM peak,3,136842,45614
33 St (6),AM peak,4,711978,177994.5
33 St (6),Evening,4,796081,199020.25
33 St (6),Midday,6,1632748,272124.6666666667
33 St (6),Overnight,7,204059,29151.285714285714
33 St (6),PM peak,3,1521719,507239.6666666667
34 St-Hudson Yards (7),AM peak,4,316538,79134.5
34 St-Hudson Yards (7),Evening,4,915776,228944
34 St-Hudson Yards (7),Midday,6,1362036,227006
34 St-Hudson Yards (7),Overnight,7,212165,30309.285714285714
34 St-Hudson Yards (7),PM peak,3,1571431,523810.3333333333
"59 St (N,R)",AM peak,4,970467,242616.75
"59 St (N,R)",Evening,4,190102,47525.5
"59 St (N,R)",Midday,6,782310,130385
"59 St (N,R)",Overnight,7,140459,20065.571428571428
"59 St (N,R)",PM peak,3,537475,179158.33333333334
86 St (Q),AM peak,4,1262130,315532.5
86 St (Q),Evening,4,674609,168652.25
86 St (Q),Midday,6,1578869,263144.8333333333
86 St (Q),Overnight,7,123002,17571.714285714286
86 St (Q),PM peak,3,1237298,412432.6666666667
96 St (Q),AM peak,4,1016870,254217.5
96 St (Q),Evening,4,367878,91969.5
96 St (Q),Midday,6,1241900,206983.33333333334
96 St (Q),Overnight,7,114214,16316.285714285714
96 St (Q),PM peak,3,832281,277427
"Beach 105 St (A,S)",AM peak,4,14621,3655.25
"Beach 105 St (A,S)",Evening,4,7308,1827
"Beach 105 St (A,S)",Midday,6,16836,2806
"Beach 105 St (A,S)",Overnight,7,4387,626.7142857142857
"Beach 105 St (A,S)",PM peak,3,16023,5341
"Beach 98 St (A,S)",AM peak,4,28567,7141.75
